service_id,date,exception_type
59602,20251027,1
59602,20251028,1
59603,20251027,1
59603,20251028,1
59603,20251029,1
59603,20251030,1
59603,20251031,1
59604,20251027,1
59604,20251028,1
59604,20251029,1
59604,20251030,1
59604,20251031,1
59604,20251101,1
59604,20251102,1
59604,20251103,1
59604,20251104,1
59604,20251105,1
59604,20251106,1
59604,20251107,1
59604,20251108,1
59604,20251109,1
59604,20251110,1
59604,20251111,1
59604,20251112,1
59604,20251113,1
59604,20251114,1
59604,20251115,1
59604,20251116,1
59604,20251117,1
59604,20251118,1
59604,20251119,1
59604,20251120,1
59604,20251121,1
59604,20251122,1
59604,20251123,1
59604,20251124,1
59604,20251125,1
59604,20251126,1
59604,20251127,1
59605,20251027,1
59605,20251028,1
59605,20251029,1
59605,20251030,1
59605,20251031,1
59605,20251101,1
59605,20251102,1
59605,20251103,1
59605,20251104,1
59605,20251105,1
59605,20251106,1
59605,20251107,1
59605,20251108,1
59605,20251109,1
59605,20251110,1
59605,20251112,1
59605,20251113,1
59605,20251114,1
59605,20251115,1
59605,20251116,1
59605,20251117,1
59605,20251118,1
59605,20251119,1
59605,20251120,1
59605,20251121,1
59605,20251122,1
59605,20251123,1
59605,20251124,1
59605,20251125,1
59605,20251126,1
59605,20251127,1
59606,20251027,1
59606,20251028,1
59606,20251029,1
59606,20251030,1
59606,20251031,1
59606,20251101,1
59606,20251102,1
59606,20251103,1
59606,20251104,1
59606,20251105,1
59606,20251106,1
59606,20251107,1
59606,20251110,1
59606,20251111,1
59606,20251112,1
59606,20251113,1
59606,20251114,1
59606,20251115,1
59606,20251116,1
59606,20251117,1
59606,20251118,1
59606,20251119,1
59606,20251120,1
59606,20251121,1
59606,20251122,1
59606,20251123,1
59606,20251124,1
59606,20251125,1
59606,20251126,1
59606,20251127,1
59607,20251027,1
59607,20251028,1
59607,20251029,1
59607,20251030,1
59607,20251031,1
59607,20251101,1
59607,20251102,1
59607,20251108,1
59607,20251109,1
59607,20251115,1
59607,20251116,1
59607,20251122,1
59607,20251123,1
59608,20251027,1
59608,20251028,1
59608,20251029,1
59608,20251030,1
59608,20251031,1
59608,20251103,1
59608,20251104,1
59608,20251105,1
59608,20251106,1
59608,20251107,1
59608,20251108,1
59608,20251109,1
59608,20251110,1
59608,20251111,1
59608,20251112,1
59608,20251113,1
59608,20251114,1
59608,20251117,1
59608,20251118,1
59608,20251119,1
59608,20251120,1
59608,20251121,1
59608,20251124,1
59608,20251125,1
59608,20251126,1
59608,20251127,1
59609,20251027,1
59609,20251028,1
59609,20251029,1
59609,20251030,1
59609,20251031,1
59609,20251103,1
59609,20251104,1
59609,20251105,1
59609,20251106,1
59609,20251107,1
59609,20251108,1
59609,20251110,1
59609,20251111,1
59609,20251112,1
59609,20251113,1
59609,20251114,1
59609,20251115,1
59609,20251117,1
59609,20251118,1
59609,20251119,1
59609,20251120,1
59609,20251121,1
59609,20251122,1
59609,20251124,1
59609,20251125,1
59609,20251126,1
59609,20251127,1
59610,20251027,1
59610,20251028,1
59610,20251029,1
59610,20251030,1
59610,20251031,1
59610,20251103,1
59610,20251104,1
59610,20251105,1
59610,20251106,1
59610,20251107,1
59610,20251110,1
59610,20251111,1
59610,20251112,1
59610,20251113,1
59610,20251114,1
59610,20251117,1
59610,20251118,1
59610,20251119,1
59610,20251120,1
59610,20251121,1
59610,20251124,1
59610,20251125,1
59610,20251126,1
59610,20251127,1
59611,20251027,1
59611,20251028,1
59611,20251029,1
59611,20251030,1
59611,20251031,1
59611,20251108,1
59612,20251027,1
59612,20251028,1
59612,20251029,1
59612,20251030,1
59612,20251031,1
59612,20251108,1
59612,20251115,1
59612,20251122,1
59613,20251027,1
59613,20251028,1
59613,20251029,1
59613,20251030,1
59613,20251031,1
59613,20251124,1
59613,20251125,1
59613,20251126,1
59613,20251127,1
59614,20251027,1
59614,20251028,1
59614,20251029,1
59614,20251030,1
59614,20251111,1
59614,20251112,1
59614,20251113,1
59615,20251027,1
59615,20251028,1
59615,20251029,1
59615,20251030,1
59615,20251112,1
