route_id,stop_list
8140,"['F04181', 'F04526']"
3480,"['007884', 'F01012', 'F01005', 'F00921', '008590', 'F02148', '008593', 'F01997', 'F02238', 'F02004', 'F02010', 'F02240', 'F02013', 'F02016', 'F02020', 'F02025', 'F02031', '008864']"
5100,"['F02887', 'F02696', 'F01102', 'F01100', 'F01095', 'F01092', 'F01085', 'F01079', 'F00996', 'F00962', 'F00964']"
9680,"['F03289', 'F03450', 'F03452', 'F03454', 'F03544', 'F03546', '011773', '011715', '116272', 'F01719', 'F01848', 'F01846', 'F01715', 'F01605', 'F01603', 'F01813', 'F01600', 'F01811', 'F01595', 'F01591', 'F01588', 'F01842', 'F01700', 'F01697', '008863', 'F01694', 'F01583', '043176', 'F03948']"
9660,"['009358', '009338', '008962', '008961', 'F04569', 'F04533', '008954', '008956', '008958', 'F04077', 'F04162', 'F04157', 'F04058', 'F04056', 'F04054', 'F04119', 'F04122', 'F04129', 'F04134', 'F04137', 'F04140', 'F04174', 'F01450', 'F01451', 'F01455', 'F04015']"
1200,"['F00800', 'F00854', 'F00832', 'F00892', 'F00890', 'F00863', 'F00691', 'F02547', 'F02654', 'F02533', 'F02538', 'F02561', 'F02664', 'F02665', 'F02575', '009420', 'F02604']"
2190,"['056161', '008405', '008407', '056162', '056165', '056168', '056173', '056175', '100837', '064377']"
3470,"['F04405', 'F04397', 'F04382', 'F01905', 'F02029', 'F02024', 'F02019', 'F02017', 'F02014', 'F02241', 'F02009', 'F02003', 'F02239', 'F01999', 'F02194', 'F02149', '008591', 'F00922', 'F01006', 'F01013', '007884']"
F4772,"['F01164', 'F01162', '009161', 'F01251', 'F01183', 'F01316', 'F02737', 'F02735', 'F02741', 'F02918', 'F02956', 'F02916', 'F02799', 'F02800', 'F02803', 'F02811', 'F02942', 'F02809', 'F02806', 'F02805', 'F02792', 'F02940', 'F02793', 'F02808']"
F4802,"['F02764', 'F02768', 'F02770', 'F02771', '040608', 'F02775', 'F02778', 'F02934', 'F02782', 'F02784', 'F02789', 'F02937', 'F02750', 'F02930', 'F02746', 'F02928', 'F01737', 'F01735', '008545', 'F01182', 'F01250', '061349', 'F01161', 'F01166']"
F3561,"['F02194', 'F02149', '008591', '072934', 'F00105', 'F00081', 'F00086', 'F00089', 'F00027', 'F02460', 'F00425', 'F00156', 'F00411', 'F00161', 'F00165', 'F00432', 'F00312', 'F00314', 'F00316', 'F00318', 'F00347', 'F00345', '007975']"
