stop_id,stop_name,stop_lat,stop_lon,nearest_stops
002133,"Örs vezér tere M+H, déli tárolótér",47.500366,19.1357,"['008018', '008021', '008022', '008023', '008024', '008025', '008026', '008028', '008029', '008030', '008164', '008165', 'F01860', 'F01861', 'F01862', 'F01863']"
002138,Kőbánya alsó vasútállomás,47.483139,19.127891,"['008379', '008381', '048277', 'F01569', 'F01570', 'F01571', 'F01572', 'F01574', 'F01635', 'F01636', 'F01639', 'F01640', 'F01641', 'F01645', 'F01646', 'F01800', 'F01801', 'F01803']"
003002,Puskás Ferenc Stadion M,47.500368,19.103406,"['008725', '008770', '008785', '009531', 'CSF01324', 'F01316', 'F01317', 'F01324', 'LM2PF2']"
003105,Bécsi út / Vörösvári út,47.548817,19.029722,"['007880', '008365', '008412', 'F00566', 'F00567', 'F00568', 'F00569', 'F00570', 'F00680', 'MERGED_F00568']"
003117,Hubay Jenő tér,47.5629,19.115709,"['F03048', 'F03049', 'F03050', 'F03053', 'F03054', 'F03055']"
004716,"ÉD metró járműtelep,porta",47.469651,19.12909,['F01540']
004948,Metró ÉD járműtelep (kapu),47.465239,19.142612,['106390']
004952,Metró KNY járműtelep (kapu),47.502234,19.132179,[]
005924,Mill.FAV járműtelep (kapu),47.518788,19.093168,"['008054', '008206', '016938', 'CSF02887', 'F02876', 'F02879', 'F02880', 'F02884', 'F02885', 'F02886', 'F02888', 'F02890', 'LM1MUM', 'LM1MUV']"
006390,Cinkota kocsiszín (kapu),47.519365,19.216995,"['090963', '19828', '19828293', '19828294', '19828295', '19828296', '19828641', '19828642', 'F03304', 'F03305', 'F03306', 'F03379', 'F03380']"
007177,Csepel kocsiszín (kapu),47.421449,19.066161,"['09226', '09226234', '09226543', 'F04185', 'F04193', 'F04294', 'F04336']"
007675,Dunaharaszti külső kocsiszín (kapu),47.362643,19.088375,[]
007762,Szentendre kocsiszín (kapu),47.658768,19.072392,['009119']
007817,Márta utca,47.429184,18.929497,[]
007877,Bíróság,47.519544,18.97806,['007878']
007878,Bíróság,47.519418,18.978021,['007877']
007879,"Római úti lakótelep, Varsa utca",47.57084,19.058436,[]
007880,Bécsi út / Vörösvári út,47.547562,19.028729,"['003105', '008365', '008412', '082200', 'F00566', 'F00567', 'F00568', 'F00569', 'F00570', 'MERGED_F00568']"
007881,Váradi utca,47.543722,19.030125,"['007882', 'F00590', 'F00591', 'F00592']"
007882,Váradi utca,47.542679,19.029953,"['007881', 'F00590', 'F00591', 'F00592']"
007883,Perényi út,47.5458,19.029579,['082200']
007884,Deák Ferenc tér M,47.497413,19.055158,"['008622', '009230', '009309', '038717', '056427', 'CSF00954', 'F00946', 'F00947', 'F00950', 'F00954', 'F00955', 'F00960', 'F00961', 'F00962', 'F00963', 'F00985', 'LM1DF1', 'LM1DF2', 'LM1DF3', 'LM2DF1', 'LM3DF1', 'LMXDF1', 'LMXDFA', 'LMXDFB', 'LMXDFC', 'LMXDFD', 'LMXDFE']"
007885,Dorottya utca (Vörösmarty tér M),47.497476,19.049623,"['008068', 'CSF00964', 'F00964', 'F00965', 'F00975', 'F00979', 'F00980', 'F00981', 'LM1VTM', 'LM1VTV']"
007887,Mester utca / Ferenc körút,47.48231,19.068795,"['007888', '007890', 'F01372', 'F01378', 'F01379', 'F01380']"
007888,Mester utca / Ferenc körút,47.482562,19.068477,"['007887', '007890', 'F01378', 'F01379', 'F01380']"
007890,Mester utca / Ferenc körút,47.481671,19.068782,"['007887', '007888', 'F01372', 'F01378', 'F01379', 'F01380']"
007897,Kelenföld vasútállomás M,47.464581,19.022964,"['007967', '056202', '056216', '067002', '099633', '099634', 'F02210', 'LM4KF1', 'LM4KF2', 'LM4KFA']"
007900,Maros utcai rendelőintézet,47.503724,19.022401,"['072851', 'F00029']"
007902,Újpest-városkapu M,47.558551,19.078245,"['008163', '008945', '011762', 'CSF00897', 'F00898', 'L008163', 'L008164', 'L008165', 'LM3UV1', 'LM3UV2']"
007913,526. sor,47.479274,19.211295,['007914']
007914,526. sor,47.479282,19.211481,['007913']
007923,Kele utca,47.43175,19.173783,"['009478', '009479', 'F03620', 'F03621']"
007924,Ültetvény utca,47.396895,19.175423,['F03659']
007927,Ferihegy vasútállomás,47.438423,19.222716,"['007928', '050181', 'F03810', 'MERGED_F03810']"
007928,Ferihegy vasútállomás,47.437667,19.223377,"['007927', '050181', 'F03810', 'MERGED_F03810']"
007930,Savoyai Jenő tér (Törley tér),47.430333,19.036354,"['007931', '083331', 'F04396', 'F04397', 'F04398', 'F04400', 'F04402']"
007931,Savoyai Jenő tér (Törley tér),47.430369,19.036792,"['007930', 'F04396', 'F04397', 'F04398', 'F04400', 'F04402']"
007942,"Pilisborosjenő, autóbusz-forduló",47.609102,18.989684,['116270']
007949,Kocsis Sándor út,47.574343,19.013009,['F00529']
